traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG, category1, category2, category3
42,37,41,0,1,1,0,1,1,1,4,6,Elephant
51,58,52,0,0,1,1,1,1,1,5,8,Dog
40,47,38,1,1,0,1,0,1,0,5,5,Bow
45,74,68,0,1,1,1,0,1,1,2,5,Apple
40,45,53,0,0,1,0,0,1,1,5,2,Bow
43,40,48,0,0,1,1,1,0,1,5,7,Elephant
44,45,47,1,1,0,1,1,1,1,2,3,Bow
41,58,45,1,1,0,0,1,0,0,2,10,Dog
48,62,52,0,0,1,1,1,0,0,1,5,Dog
41,65,44,0,0,1,0,0,0,1,1,10,Dog
51,57,51,1,1,1,1,1,1,1,4,10,Dog
46,78,49,1,0,0,1,1,0,0,5,5,Dog
51,44,49,0,0,1,0,0,0,0,2,9,Dog
50,42,35,1,1,1,0,1,0,0,2,1,Cat
38,58,52,0,0,1,0,1,0,1,2,4,Elephant
28,39,55,0,0,0,1,1,0,0,5,8,Bow
44,33,50,1,1,0,0,0,1,0,3,10,Bow
39,61,60,1,0,1,1,0,0,1,5,8,Cat
42,51,52,0,0,1,0,0,0,1,3,8,Apple
43,36,44,0,1,0,0,1,0,0,3,10,Bow
50,35,50,0,1,1,0,0,1,0,2,10,Elephant
42,64,41,0,1,1,1,0,0,1,5,7,Dog
44,44,48,0,1,0,0,0,1,0,2,1,Elephant
61,31,49,1,1,1,0,1,1,1,1,6,Elephant
37,58,49,1,1,0,0,0,0,1,4,4,Elephant
56,53,46,1,0,0,0,1,0,0,1,10,Cat
50,58,50,1,0,1,0,1,1,0,3,4,Dog
52,40,61,0,0,0,1,1,1,0,1,8,Dog
50,61,37,0,1,1,0,0,0,1,3,9,Cat
58,62,69,1,1,1,1,1,1,1,3,5,Dog
60,49,55,1,0,0,1,1,1,1,2,1,Elephant
40,57,51,1,1,0,1,0,0,0,2,7,Apple
39,41,37,0,0,0,0,0,0,0,4,9,Bow
45,25,50,1,1,0,0,0,1,0,1,2,Bow
58,62,56,0,1,1,1,0,1,0,3,9,Cat
43,68,48,1,0,1,1,0,1,0,4,5,Elephant
71,45,57,1,1,1,1,1,1,0,1,2,Cat
38,46,53,1,0,0,1,1,1,1,4,8,Bow
33,33,63,0,0,0,1,0,1,1,3,6,Bow
20,47,56,1,0,0,0,0,0,0,4,5,Elephant
48,47,55,1,1,0,1,0,0,0,3,1,Apple
63,27,52,0,1,1,1,1,0,1,5,2,Cat
14,53,53,1,0,0,1,1,1,0,4,7,Dog
41,44,49,0,1,0,1,0,0,0,4,6,Bow
42,61,53,0,1,1,0,1,0,1,2,9,Cat
55,58,53,0,1,1,1,0,1,1,3,7,Cat
41,50,49,1,1,1,1,1,0,1,5,2,Dog
53,51,51,1,0,0,0,1,1,0,1,3,Bow
69,54,45,0,0,0,0,1,0,0,4,1,Apple
40,59,45,1,0,0,1,0,1,1,2,1,Elephant
36,56,51,1,0,0,1,0,1,0,3,7,Cat
55,64,48,1,0,1,0,1,0,1,1,5,Dog
29,35,57,1,0,0,0,0,0,0,4,8,Elephant
48,43,53,1,0,0,0,0,0,0,2,4,Apple
51,37,56,0,0,0,1,1,0,0,1,5,Bow
39,63,51,1,1,0,0,0,0,1,5,7,Cat
44,47,56,1,1,1,1,1,1,0,1,9,Dog
49,47,67,1,0,1,1,0,1,1,1,10,Dog
37,61,46,1,1,1,0,0,1,1,5,7,Cat
49,52,36,0,1,0,1,1,0,0,4,1,Apple
63,34,51,1,1,1,1,1,1,0,2,9,Elephant
46,64,48,0,1,1,1,1,1,1,2,2,Elephant
46,64,40,0,0,0,0,1,0,1,3,8,Cat
49,50,63,0,0,1,1,1,0,0,2,4,Dog
59,31,56,1,0,1,1,1,1,1,1,8,Bow
29,46,59,0,1,1,0,0,0,0,4,1,Dog
38,56,38,0,1,0,1,1,0,1,3,2,Dog
46,50,59,1,1,0,0,0,1,1,4,7,Cat
50,57,62,0,1,0,1,0,1,0,2,10,Cat
37,49,51,0,1,0,1,0,1,0,2,3,Dog
