traitX,traitY,traitZ,itemA,itemB,itemC,itemD,itemE,itemF,itemG
51,55,50,1,0,0,0,1,1,1
56,56,49,1,1,0,0,1,1,0
46,63,33,1,1,1,1,1,0,0
40,54,44,0,1,0,1,0,0,0
36,47,48,1,0,0,0,1,0,0
54,47,50,0,0,0,1,1,0,0
48,54,50,1,0,1,1,1,1,1
55,37,50,0,0,1,0,1,1,1
53,45,53,1,0,1,1,1,1,1
52,44,45,0,0,0,0,0,0,0
50,48,30,0,0,0,0,0,0,1
53,45,40,0,0,1,0,0,0,0
59,53,51,1,0,1,1,1,1,1
39,42,50,0,0,1,0,0,0,1
43,53,47,0,0,0,0,1,0,0
46,50,52,0,1,1,0,1,0,1
33,50,56,0,1,0,1,0,0,0
49,48,50,0,1,0,0,0,0,1
48,68,35,1,0,1,0,1,1,1
57,57,38,1,1,1,1,1,0,0
46,46,54,1,0,1,1,0,0,1
49,50,64,1,0,1,1,0,1,1
46,54,43,1,0,0,0,0,0,1
53,47,48,1,0,1,0,1,1,0
41,56,64,0,1,0,1,1,1,1
44,51,52,0,1,0,1,0,1,1
39,53,60,1,1,0,1,0,1,1
45,50,38,0,1,0,1,1,1,0
58,62,61,1,1,0,0,1,1,1
51,49,48,0,0,1,0,0,0,0
40,55,48,1,1,0,1,0,1,0
56,53,42,1,1,1,0,1,0,0
58,50,47,0,1,1,1,0,1,1
50,54,43,0,1,1,0,0,0,1
50,50,50,1,0,0,1,0,1,0
50,49,54,1,1,1,1,0,0,1
55,52,60,1,1,1,1,1,1,1
52,47,53,0,0,0,0,1,1,1
53,49,46,0,0,0,1,0,0,1
50,45,50,0,0,1,0,0,0,0
56,64,51,0,1,1,1,1,0,1
55,50,50,1,1,0,0,0,1,1
46,41,58,0,1,0,0,1,0,0
57,66,47,1,0,0,0,0,1,1
54,56,59,0,1,0,0,1,0,1
46,43,54,1,0,0,1,0,0,0
54,51,53,1,0,0,1,0,1,1
42,52,62,1,0,0,1,0,1,0
60,59,53,0,0,0,1,1,1,1
50,47,52,0,0,1,0,1,0,0
46,49,53,1,1,1,1,0,1,0
41,47,55,0,0,1,0,0,0,0
51,39,53,1,1,1,1,0,0,1
55,44,52,0,0,1,1,1,0,0
49,49,43,1,0,1,1,1,0,0
57,55,56,1,0,0,1,1,1,0
48,47,49,0,0,1,0,0,0,1
44,55,43,0,1,1,0,0,0,1
45,51,39,1,1,1,1,1,0,0
64,53,52,1,0,1,1,0,0,0
57,51,49,1,1,0,1,0,1,1
44,42,54,1,0,1,0,0,1,0
57,47,48,0,1,1,0,0,1,0
44,50,47,1,1,0,0,0,0,1
56,52,47,0,0,1,1,0,1,0
62,52,58,1,0,0,1,0,0,0
43,52,44,0,1,1,1,0,0,0
39,54,43,0,1,1,0,0,0,0
37,60,43,0,1,0,0,0,1,1
55,57,46,0,0,1,1,1,1,1
59,51,33,0,1,0,0,1,1,0
44,52,52,0,1,1,0,1,0,0
68,50,65,0,0,0,0,1,1,1
50,53,43,1,1,0,0,1,0,1
40,45,46,0,1,1,0,0,0,0
51,45,42,1,0,1,0,1,1,1
55,51,43,0,1,1,1,0,1,1
51,66,50,0,0,0,1,1,1,1
40,49,52,0,1,0,0,0,0,0
57,59,46,0,1,0,0,1,1,0
50,49,60,1,1,0,1,1,1,0
60,50,52,1,1,1,1,1,0,1
53,30,57,0,0,1,1,0,1,0
47,41,51,1,1,0,0,1,0,0
52,44,56,1,1,1,0,1,1,1
59,61,48,1,1,0,1,0,1,0
45,55,52,1,0,1,1,1,0,0
50,60,44,0,1,1,0,1,1,1
55,46,39,1,1,1,0,1,0,0
49,48,28,0,1,1,0,1,1,0
50,56,62,0,0,0,1,0,1,1
51,53,59,1,1,0,1,0,0,0
52,50,53,0,0,1,0,1,0,1
50,57,62,1,0,1,0,0,0,1
45,47,53,1,1,0,1,1,0,1
58,51,47,0,0,1,1,0,0,1
35,50,55,1,1,0,0,0,0,1
49,38,54,1,0,1,1,1,0,1
50,58,50,1,1,1,0,0,0,1
41,46,52,1,1,1,0,0,0,1
48,56,50,1,0,1,0,1,1,1
47,46,52,0,1,0,1,0,0,0
48,46,38,1,0,1,0,1,0,0
40,44,44,1,0,1,0,0,1,0
64,55,47,1,1,1,0,1,1,1
41,58,52,1,1,1,1,1,0,1
55,41,54,0,1,0,0,1,1,0
50,61,57,1,0,0,1,0,1,1
50,56,52,0,1,1,0,0,1,1
50,61,42,0,0,0,0,1,1,0
46,50,50,0,1,0,1,0,0,1
35,39,63,0,0,0,0,0,0,1
44,66,54,1,0,1,1,0,1,1
57,64,51,0,1,1,1,1,0,0
56,39,54,1,1,1,0,1,0,1
52,45,39,1,0,1,0,1,0,0
42,47,39,0,0,0,0,1,0,0
43,33,52,1,0,1,1,0,0,0
57,41,49,0,1,1,0,1,1,0
58,42,52,1,0,0,0,0,1,1
51,53,43,1,1,0,1,1,1,1
47,56,53,0,0,0,0,1,1,1
44,43,68,0,0,0,0,0,1,0
46,38,50,1,0,0,0,1,0,0
70,40,50,1,0,1,0,0,0,0
57,45,58,1,0,1,0,0,0,1
53,53,54,0,0,1,1,0,1,1
46,45,54,1,1,0,0,1,1,1
45,39,47,1,0,0,0,0,0,0
49,46,50,0,0,0,1,0,0,0
60,52,49,1,1,1,1,1,1,1
45,44,50,0,1,0,1,0,0,0
50,57,48,1,1,0,1,1,1,1
52,47,43,0,1,1,0,0,1,0
44,53,48,0,1,1,0,0,0,1
48,40,49,1,1,0,0,0,0,1
46,50,31,0,0,1,0,1,0,0
45,55,57,0,1,0,1,0,1,1
45,45,56,0,1,1,0,0,0,1
46,53,70,1,1,1,1,0,0,1
47,54,51,1,1,0,1,0,0,0
48,54,50,1,0,1,0,0,0,0
41,59,45,0,1,1,1,0,1,0
44,53,47,1,1,0,0,0,0,1
54,48,46,1,1,0,0,0,1,1
60,44,33,1,0,0,0,1,1,1
55,58,44,1,1,0,0,1,0,1
37,50,44,0,0,0,0,0,0,0
44,50,46,1,0,0,0,1,0,0
46,35,50,0,1,1,0,1,0,1
46,54,58,1,1,0,1,1,1,1
53,47,44,1,0,1,1,0,0,1
47,54,51,0,0,0,0,1,1,0
39,50,46,0,1,0,0,0,0,0
57,48,51,1,1,1,0,1,0,0
44,52,60,1,1,1,1,0,1,1
64,56,47,1,1,1,1,0,1,1
61,46,41,1,0,1,0,1,1,1
38,52,61,1,0,0,0,1,0,1
39,49,54,0,0,0,1,0,0,0
54,54,55,0,1,1,1,1,1,0
53,54,57,0,0,1,0,1,1,1
43,50,48,0,0,1,0,0,1,1
50,40,52,1,1,0,0,1,0,0
50,47,60,1,1,1,0,0,1,0
52,55,42,0,0,1,0,1,0,0
37,49,64,1,0,0,1,0,1,0
41,50,50,1,0,0,1,0,0,0
48,47,50,1,0,1,0,0,0,0
60,55,22,0,1,1,0,0,1,0
47,45,40,1,0,1,0,0,1,0
50,47,52,1,0,1,1,1,1,0
44,50,42,1,1,0,0,0,0,0
37,51,55,0,1,0,1,0,1,0
56,40,37,0,0,1,1,0,0,0
50,51,42,0,0,1,0,1,0,1
58,55,47,0,1,0,0,0,0,0
58,63,49,1,0,0,1,1,1,0
47,68,63,1,1,0,1,1,1,1
50,54,59,1,0,0,1,1,1,1
43,61,51,0,0,0,1,1,0,0
53,58,52,0,0,1,0,1,0,1
42,45,57,1,0,1,1,0,0,1
48,36,43,0,0,0,1,1,0,0
37,47,56,0,0,1,1,0,0,0
53,49,53,0,0,1,0,1,1,1
54,57,48,0,0,0,0,1,0,1
52,52,51,0,1,0,1,1,1,1
46,42,46,0,0,0,0,0,0,0
40,53,50,1,1,0,1,1,0,0
52,60,60,1,0,1,1,0,0,0
50,47,51,1,0,0,1,1,0,0
54,39,50,0,0,0,0,1,1,0
41,36,57,0,0,0,1,1,0,0
39,54,41,0,0,1,1,1,1,1
67,44,46,1,1,0,0,1,1,0
43,57,62,0,1,0,1,1,1,0
50,50,41,0,0,1,0,0,0,1
51,54,63,0,0,1,1,1,1,1
42,43,55,1,0,0,0,1,0,1
41,51,46,1,0,0,0,0,0,0
56,41,44,0,1,1,0,1,1,1
51,40,48,0,0,0,0,0,1,0
54,53,50,0,0,0,1,1,1,1
48,57,43,0,0,1,1,1,1,0
54,49,45,1,0,0,0,1,1,1
50,56,44,1,0,0,0,0,0,0
58,58,50,1,1,1,0,1,1,1
44,45,45,1,1,0,1,0,0,0
61,42,45,1,0,1,0,1,0,1
60,61,65,1,1,1,1,1,1,1
55,60,54,1,1,1,1,1,1,1
54,48,51,1,1,1,1,0,1,1
52,66,57,1,1,1,0,1,1,1
35,39,35,1,0,1,0,0,0,0
46,51,56,1,1,1,0,0,1,0
63,55,46,0,0,1,0,1,0,0
46,49,36,1,0,1,1,0,0,0
55,53,49,0,1,1,0,1,1,0
51,64,70,1,1,0,1,1,1,1
44,23,60,1,0,0,1,0,0,1
45,48,50,0,0,1,1,0,1,0
58,39,47,0,0,1,0,1,1,0
62,40,46,0,1,1,0,1,0,1
57,48,53,0,1,1,0,1,1,0
42,53,41,1,1,1,1,1,0,1
48,35,53,0,1,1,0,1,1,0
35,55,47,1,0,0,1,0,0,0
50,50,39,0,1,0,1,1,0,0
52,44,53,1,1,1,0,0,1,1
55,43,61,1,0,1,0,0,1,1
52,40,53,0,0,1,0,1,1,1
47,35,49,0,1,0,0,1,0,0
51,38,43,0,0,0,0,0,1,0
50,46,39,0,0,1,1,1,1,0
52,68,64,0,1,1,1,1,1,1
48,52,55,0,0,0,1,1,1,0
41,40,52,0,0,0,0,0,1,0
53,31,51,1,0,0,0,1,1,1
50,55,50,1,1,0,1,1,0,1
51,52,45,1,0,0,1,0,1,0
49,47,54,1,1,0,0,1,0,1
50,54,44,0,1,0,1,0,0,1
50,52,64,1,0,0,1,0,0,1
37,49,44,0,1,0,0,1,0,1
48,59,64,1,1,0,1,0,0,1
49,56,41,0,1,1,0,0,1,1
51,57,47,1,1,1,1,1,1,1
33,48,47,0,1,1,0,1,0,0
47,38,36,0,1,1,0,0,1,0
47,47,53,1,0,1,0,0,1,1
56,65,47,0,1,1,1,0,0,1
50,36,50,1,0,0,0,0,0,0
52,56,52,1,0,1,1,1,1,1
64,56,40,1,0,0,0,1,1,0
55,52,55,1,1,1,0,0,1,1
57,55,58,1,1,0,1,1,0,0
51,54,40,1,1,0,0,0,0,1
37,50,47,1,1,0,1,0,0,1
63,48,50,0,1,0,0,1,1,0
54,47,44,1,1,1,0,0,0,0
56,52,35,0,0,0,0,0,1,0
40,38,49,1,1,0,0,0,0,1
58,47,52,1,1,0,0,1,1,0
53,50,47,0,1,1,0,1,1,1
60,50,57,1,0,1,1,1,1,1
62,50,43,1,0,1,1,1,1,1
51,46,50,1,0,0,1,1,1,0
51,50,37,0,0,1,1,1,0,1
59,59,42,1,0,0,1,1,0,1
50,61,54,0,0,1,0,1,0,1
47,50,54,1,0,1,0,0,0,1
56,48,55,1,1,1,1,1,1,0
51,56,44,0,0,1,1,0,1,1
45,49,54,1,1,1,1,0,1,0
39,53,51,0,0,0,1,1,0,1
52,39,43,0,0,0,0,0,0,0
44,56,53,1,1,0,0,0,0,1
51,56,53,1,0,1,1,1,1,1
59,38,45,0,0,0,0,1,1,0
60,69,54,1,1,1,1,1,1,1
56,62,59,0,1,0,1,1,1,1
56,50,46,0,1,0,0,1,1,0
51,58,49,1,1,1,1,1,1,0
52,54,50,1,1,0,0,1,0,1
55,47,57,0,1,1,1,1,0,0
50,50,55,1,1,0,1,1,0,1
50,49,56,0,1,0,1,0,0,1
44,52,46,1,1,0,0,1,0,0
57,51,45,0,0,1,0,1,1,1
58,55,50,1,0,1,1,1,1,1
53,42,51,1,0,1,0,0,0,1
59,42,44,0,1,1,1,1,1,0
42,55,46,1,1,0,1,1,0,1
56,70,52,0,1,0,1,1,1,1
56,41,45,1,0,1,1,1,1,0
54,42,56,0,0,1,0,1,0,0
39,49,50,0,1,0,0,1,0,0
33,47,49,0,0,1,0,0,0,0
35,41,66,0,0,0,1,0,0,0
48,50,50,1,0,0,1,0,0,0
60,40,40,1,1,0,1,0,1,1
48,49,41,1,0,0,0,1,1,0
53,62,47,0,0,1,0,1,0,1
42,57,52,1,1,0,1,1,1,0
53,51,48,0,1,0,1,1,0,0
37,58,45,0,1,1,1,0,0,1
48,49,53,1,0,1,0,1,0,0
59,46,58,0,1,0,1,1,0,1
60,50,59,1,0,0,0,1,1,1
56,59,40,0,0,1,1,1,1,0
44,54,54,1,0,0,0,1,1,0
58,50,56,0,0,1,1,0,1,1
32,40,53,1,0,0,0,1,1,0
49,47,42,1,0,1,1,0,0,1
55,41,37,1,0,1,0,0,0,1
49,51,57,0,0,0,1,1,1,0
46,47,39,0,1,0,0,0,1,0
46,50,56,0,1,1,0,0,1,0
64,47,50,0,1,1,1,1,1,1
47,56,51,1,1,0,1,0,0,0
55,44,44,1,1,0,0,1,0,0
51,45,55,0,0,1,1,0,0,1
47,53,50,0,0,0,0,1,1,0
39,36,56,0,0,1,0,0,1,0
50,48,50,0,0,1,1,0,0,0
44,48,51,1,0,1,0,1,1,0
55,55,39,0,1,0,0,0,0,0
50,50,53,0,0,1,0,1,1,1
45,54,38,1,0,1,0,0,0,0
59,33,48,1,1,0,0,1,1,0
42,50,54,1,0,0,1,0,0,0
60,49,61,1,0,1,0,1,1,1
43,47,54,1,0,0,0,1,0,1
49,57,47,1,0,0,1,1,1,1
50,52,60,0,0,0,1,1,1,0
50,47,40,1,0,1,1,1,0,1
50,60,34,0,1,0,1,0,0,1
47,49,48,0,0,1,0,1,0,1
42,50,56,1,0,0,1,0,1,0
50,48,53,1,1,0,0,1,0,0
59,58,63,1,1,1,1,1,1,1
38,46,50,1,1,1,1,1,1,0
48,59,46,1,1,1,0,1,1,1
54,45,37,1,1,1,1,0,1,0
50,45,40,1,1,1,0,0,0,0
55,41,47,0,1,0,0,0,1,0
57,29,48,1,0,0,0,0,0,0
50,74,57,0,1,0,1,1,1,1
63,50,57,0,0,1,1,0,1,0
54,52,49,0,1,1,1,0,0,0
51,50,56,0,0,0,1,1,0,0
52,55,43,0,1,0,0,0,1,1
45,46,47,1,1,0,0,0,0,1
46,46,50,1,1,0,1,1,0,1
48,52,59,1,1,0,0,1,0,1
46,56,57,1,1,1,1,0,1,1
42,46,53,1,0,0,1,1,1,0
49,50,44,0,0,0,1,1,0,0
64,48,60,0,1,1,0,0,0,0
40,53,57,0,1,1,1,0,1,0
38,53,50,0,1,0,1,0,1,0
50,52,56,0,1,0,1,1,0,1
60,58,55,1,0,0,1,1,1,0
51,55,47,0,1,1,0,1,0,1
40,68,55,0,1,1,1,1,1,1
62,39,49,1,1,0,0,0,1,0
58,44,48,1,0,1,0,1,1,0
42,46,46,1,1,0,1,0,1,0
48,52,49,1,1,1,0,0,1,1
53,51,61,1,1,0,1,1,1,1
52,50,53,1,0,1,1,1,1,1
44,50,47,1,1,1,0,0,1,1
51,54,42,0,0,0,0,1,0,0
46,52,50,1,1,1,0,0,0,0
52,49,53,1,1,1,0,1,0,0
41,52,49,0,1,1,0,0,1,0
53,58,48,1,1,1,0,1,0,0
50,40,50,1,0,0,0,1,1,1
53,56,39,1,1,1,0,1,0,1
48,60,49,1,1,0,0,1,1,1
50,44,54,0,0,1,0,1,1,1
53,42,45,0,1,0,0,0,1,0
54,69,57,1,1,1,1,0,1,1
50,38,41,0,0,1,0,0,0,0
48,40,49,0,0,1,0,0,1,0
35,63,55,1,0,0,1,1,0,0
51,54,52,1,1,0,0,1,0,0
36,57,61,1,1,1,1,0,1,1
52,47,47,0,1,1,1,0,0,0
55,42,50,1,0,0,1,0,1,1
53,44,47,1,1,0,0,0,1,0
42,43,49,0,1,1,0,1,0,0
39,35,46,0,1,0,0,0,0,0
37,50,62,0,0,0,0,0,1,1
45,49,55,0,0,1,1,0,1,0
44,44,42,0,1,0,1,0,0,1
57,45,51,1,1,0,1,0,1,0
50,53,46,0,1,1,1,1,0,1
42,65,49,0,0,0,1,0,1,1
51,51,57,1,1,1,1,0,1,1
46,65,58,1,1,1,1,1,0,0
50,47,55,1,0,1,1,0,0,1
45,48,53,0,0,1,0,0,1,1
46,59,46,0,1,1,0,0,0,1
49,45,53,0,1,1,0,0,1,0
42,38,49,0,0,1,0,0,0,0
47,57,53,1,1,0,1,0,0,1
44,61,52,1,0,0,1,0,1,1
59,51,46,1,1,1,0,1,1,0
57,54,53,1,1,0,1,1,1,1
50,48,55,1,0,1,1,0,1,0
63,51,57,1,0,1,1,1,1,0
45,48,54,0,0,0,1,0,1,1
58,55,53,0,0,1,0,1,1,1
49,43,60,0,0,0,1,0,1,0
55,52,44,1,0,1,1,1,0,1
54,50,51,1,1,1,1,0,0,0
52,54,40,0,1,1,1,1,1,1
